seq,sc1,sc2,sc3,sc4,sc5,sc6,sc7,sc8,sc9,sc10,sc11,sc12,tc
1,0.96,0.10,2912.20,51.00,18.20,8829.70,32.80,51.60,2.70,0.16,,,0.68
2,0.97,0.06,2367.70,39.70,23.10,8402.70,35.80,39.90,3.10,0.51,,,0.59
3,1.02,0.04,2879.00,49.20,22.90,8418.40,33.20,52.20,2.70,0.17,1.00,67.00,0.59
4,1.01,0.10,2410.40,49.20,21.50,7435.50,36.70,40.80,3.10,0.35,,,0.61
5,0.95,0.06,2231.90,89.10,9.90,9234.30,32.40,36.30,2.80,0.33,,,0.49
6,1.30,0.08,1992.10,32.20,16.80,9234.30,37.90,41.80,3.00,0.61,0.63,249.00,0.87
7,1.24,0.08,2350.40,35.80,19.90,9911.80,39.50,37.80,2.50,0.59,0.70,42.00,0.68
8,0.96,0.14,2070.50,69.10,8.10,9351.00,34.30,39.10,2.40,0.54,1.00,107.00,0.65
9,1.08,0.06,1784.50,62.90,14.80,7566.60,39.60,38.90,2.40,0.78,0.67,76.00,0.73
10,1.19,0.08,3105.90,49.80,21.80,8991.00,39.10,43.90,2.90,0.27,0.88,298.00,0.72
11,1.24,0.06,2372.80,34.80,24.40,8174.80,34.70,42.30,2.90,0.29,,,0.54
12,1.13,0.07,2919.20,46.20,24.10,8737.20,42.00,52.40,2.70,0.71,,,0.63
13,0.88,0.07,2616.40,50.00,18.40,7979.10,30.20,46.80,3.60,0.12,,,0.60
14,0.94,0.10,1931.60,72.20,8.80,9165.10,33.20,42.90,2.90,0.31,0.84,146.00,0.66
15,1.07,0.09,2903.50,49.40,19.40,9656.90,32.50,53.30,2.90,0.25,0.93,164.00,0.72
16,1.13,0.06,2716.00,43.90,26.70,8621.50,42.50,44.50,2.60,0.17,0.77,322.00,0.60
17,1.07,0.13,3137.60,51.90,18.30,9145.10,38.60,32.00,3.00,0.28,0.96,13.00,0.65
18,1.08,0.07,2325.80,30.20,28.60,9629.00,34.00,47.20,3.00,0.17,0.97,203.00,0.36
19,0.98,0.08,2059.60,48.10,7.40,5141.00,38.40,35.80,2.70,0.34,,,0.63
20,0.67,0.09,2138.70,37.40,20.60,5631.00,27.60,73.90,3.20,0.01,,,0.56
21,1.17,0.05,2508.90,48.00,16.30,8372.80,38.40,53.10,4.00,0.00,0.66,48.00,0.69
22,1.42,0.06,3272.20,54.80,14.50,9101.80,41.70,47.50,2.70,0.36,1.00,242.00,0.83
23,1.03,0.09,2522.80,39.40,21.20,8239.70,41.40,32.80,,0.00,,,0.54
24,1.16,0.01,3046.70,47.30,22.40,9742.30,35.90,57.70,3.10,0.09,,,0.58
25,0.98,0.13,2332.10,39.30,19.70,8465.80,33.40,48.80,,0.00,0.69,0.00,0.62
26,1.38,0.01,2414.10,44.20,18.10,9347.80,32.20,59.00,2.50,0.29,,,0.80
27,1.14,0.05,2850.30,49.80,17.50,9340.60,31.10,51.60,,0.00,,,0.62
28,1.02,0.12,2183.60,35.50,19.10,7687.30,36.20,50.90,3.00,0.51,,,0.61
29,0.95,0.09,2304.00,40.50,23.70,6304.80,37.40,34.50,2.00,0.02,,,0.62
30,2.48,0.01,1841.50,36.80,10.90,20226.40,40.80,,2.00,1.92,,,0.92
31,0.95,0.12,2389.60,39.40,23.80,7162.20,33.90,35.00,2.70,0.42,,,0.66
32,0.88,0.08,2864.10,45.30,15.60,7705.70,31.00,40.70,2.90,0.56,,,0.48
33,1.08,0.08,3148.70,54.90,18.80,8798.90,31.70,49.20,3.00,0.14,0.99,91.00,0.62
34,0.62,0.13,3234.00,57.10,12.10,8773.40,24.30,37.80,2.70,0.10,,,0.42
35,1.07,0.06,2955.90,46.00,18.90,10068.40,38.70,36.60,2.80,0.08,,,0.62
36,1.02,0.10,2788.00,50.30,15.40,8552.90,42.50,45.70,2.70,0.24,,,0.67
37,1.04,0.06,3076.60,51.40,23.40,8931.70,37.80,46.10,2.70,0.10,,,0.66
38,1.13,0.07,2689.60,39.00,23.70,9773.90,39.90,45.70,2.80,0.39,0.42,95.00,0.67
39,0.90,0.12,2764.70,48.60,21.10,9498.40,30.40,58.70,2.50,0.29,,,0.63
40,1.07,0.09,2427.90,42.30,21.40,8774.40,37.10,42.80,3.10,0.17,0.97,190.00,0.64
41,1.05,0.05,3052.10,53.50,19.90,9064.40,39.70,53.60,3.10,0.12,1.00,164.00,0.70
42,1.04,0.08,2807.90,52.60,16.70,8311.80,35.80,39.70,2.60,0.13,,,0.64
43,1.09,0.07,2576.70,38.90,25.60,8934.40,40.00,41.70,2.20,0.11,,,0.66
44,0.94,0.12,2302.40,37.00,21.10,7320.30,37.30,35.80,2.40,0.24,,,0.65
45,1.00,0.09,2162.10,30.50,25.00,6891.50,39.00,52.30,2.60,0.46,,,0.52
46,1.14,0.08,2306.70,30.40,34.50,10023.30,41.90,27.70,2.40,0.21,,,0.40
47,1.06,0.09,2225.60,58.20,11.50,6368.30,29.40,59.30,2.70,0.06,,,0.53
48,1.23,0.05,3295.10,48.20,26.90,8506.20,41.20,47.80,2.40,0.19,,,0.64
49,0.91,0.11,2311.30,42.50,18.40,9097.40,35.50,36.00,2.60,0.41,,,0.57
50,1.09,0.11,2538.10,37.70,24.20,9732.30,39.60,40.60,2.40,0.57,0.94,89.00,0.67
51,1.09,0.07,2765.70,44.30,21.40,9743.10,36.20,54.00,3.30,0.17,0.71,46.00,0.70
52,0.99,0.08,2308.90,40.20,20.20,7750.50,33.00,51.20,2.90,0.20,0.88,57.00,0.69
53,1.14,0.08,2045.90,32.80,22.10,8078.80,36.70,48.60,2.80,0.44,0.98,32.00,0.67
54,1.09,0.08,2422.40,40.40,18.80,6756.20,38.70,43.30,2.60,0.12,1.00,63.00,0.58
55,1.23,0.08,2478.80,37.60,28.30,8299.60,41.00,40.00,3.00,0.15,0.37,32.00,0.51
56,0.98,0.06,2101.10,43.50,22.20,7181.10,35.40,64.20,2.30,0.11,,,0.61
57,0.99,0.05,3096.40,53.00,17.70,10107.30,31.50,39.60,3.00,0.08,,,0.65
58,1.09,0.07,2571.00,42.90,24.40,7811.20,39.00,41.30,2.60,0.12,,,0.50
59,1.14,0.10,2331.80,35.90,22.00,7392.30,38.00,41.30,2.50,0.31,0.63,103.00,0.67
60,0.99,0.11,2446.90,32.10,30.00,8751.80,38.50,33.40,3.10,0.15,,,0.23
61,1.08,0.20,2566.40,46.40,14.70,7488.20,41.10,39.60,2.90,0.33,,,0.62
62,0.99,0.05,2347.60,38.20,19.00,7550.10,36.30,48.80,2.70,0.64,0.77,79.00,0.60
63,1.04,0.06,2588.60,43.10,20.30,9595.90,41.40,32.20,2.70,0.20,,,0.56
64,0.94,0.11,2192.20,33.70,25.00,7164.70,34.70,42.90,,0.00,,,0.21
65,1.36,0.04,2543.20,37.60,28.20,8125.90,38.10,49.00,2.90,0.29,0.51,56.00,0.63
66,1.10,0.05,2456.20,40.90,24.00,11848.80,35.70,45.40,6.30,0.21,0.98,0.00,0.56
67,1.07,0.03,2849.40,49.20,16.00,9077.30,39.90,48.70,2.50,0.45,,,0.67
68,0.94,0.09,2309.10,41.10,19.00,8954.40,27.70,36.30,3.10,0.18,,,0.57
69,1.09,0.04,2301.00,40.00,19.10,7963.00,38.20,43.00,2.80,0.27,1.00,428.00,0.65
70,1.34,0.02,2574.80,38.80,24.40,9615.00,37.20,49.30,2.30,0.21,,,0.64
71,1.46,0.05,3106.50,37.20,33.50,10179.50,35.20,30.60,2.70,0.32,,,0.24
72,1.03,0.08,2383.40,38.10,25.00,8042.10,36.10,41.90,3.10,0.32,,,0.51
73,1.27,0.04,2492.20,37.90,23.50,6333.90,41.20,44.90,3.10,0.05,,,0.63
74,0.71,0.07,2849.70,54.60,18.40,7337.80,29.80,45.70,2.50,0.09,,,0.61
75,1.07,0.06,2717.70,46.20,17.10,8789.00,34.80,50.80,,0.00,,,0.63
76,0.95,0.09,3808.30,74.40,5.70,6993.80,31.10,54.00,2.90,0.22,,,0.61
77,0.94,0.07,2450.20,48.10,14.30,7246.90,36.30,41.10,2.70,0.03,1.00,248.00,0.71
78,0.90,0.13,2136.10,42.80,25.10,5856.90,35.90,37.60,2.70,1.40,,,0.59
79,0.96,0.11,2515.20,46.50,23.90,8154.90,34.70,44.90,3.50,0.28,,,0.68
80,1.02,0.07,2818.00,46.60,19.70,8764.20,41.50,39.70,3.90,0.03,,,0.54
81,1.02,0.09,2691.40,46.30,20.30,7285.90,40.40,40.40,2.80,0.35,,,0.57
82,1.05,0.06,2790.20,43.10,25.20,8585.70,38.00,44.20,3.60,0.58,,,0.57
83,0.94,0.06,2303.30,41.70,15.00,7346.80,35.30,59.10,2.70,0.26,0.92,71.00,0.53
84,1.01,0.07,3498.70,62.70,22.00,7747.10,38.60,45.50,2.60,0.28,,,0.46
85,1.04,0.07,2445.50,35.70,27.00,9084.40,38.10,46.90,2.70,0.36,,,0.64
86,1.07,0.07,2492.80,36.90,20.80,8864.60,36.60,56.70,2.80,0.38,1.00,221.00,0.71
87,1.04,0.10,2252.00,34.50,23.60,8459.80,34.00,56.20,2.60,0.73,0.80,23.00,0.59
88,0.92,0.06,2199.70,30.70,24.50,12483.00,34.20,65.80,2.30,0.72,0.68,113.00,0.66
89,0.96,0.08,3070.60,52.70,17.30,9261.30,29.70,45.90,3.00,0.18,0.48,127.00,0.65
90,1.08,0.06,2619.10,42.00,27.40,9506.40,37.50,43.30,2.80,0.24,1.00,46.00,0.61
91,1.05,0.08,2617.40,38.10,20.80,9364.70,39.80,42.90,2.80,0.19,,,0.58
92,1.03,0.03,2634.50,39.40,26.20,8660.30,38.70,45.30,2.80,0.35,0.72,64.00,0.58
93,1.24,0.06,3445.50,59.60,16.60,12074.20,39.10,46.60,3.50,0.29,,,0.79
94,0.91,0.12,3768.80,65.10,17.10,7946.00,39.50,38.30,2.50,0.01,,,0.55
95,1.16,0.09,3138.00,49.00,18.30,9496.70,40.90,40.80,2.80,0.42,0.46,63.00,0.67
96,1.34,0.05,3054.00,48.60,19.70,9838.50,42.00,43.10,2.60,0.58,0.98,68.00,0.79
97,1.01,0.07,2948.60,42.90,23.00,9524.40,36.20,44.20,2.80,0.36,0.99,60.00,0.54
98,1.02,0.09,2481.70,37.50,22.60,9050.40,36.30,43.60,2.60,0.50,0.73,146.00,0.57
99,0.94,0.10,2735.00,47.10,16.10,8965.10,37.40,34.10,2.90,0.40,0.53,62.00,0.67
100,1.14,0.07,2139.70,34.80,11.30,9479.40,34.30,54.30,2.90,0.38,0.69,83.00,0.70
101,0.89,0.07,1898.70,26.30,19.50,7138.60,33.00,64.60,,0.00,,,0.21
102,1.14,0.04,2930.50,46.40,20.70,9986.30,37.50,47.20,3.30,0.07,0.13,404.00,0.64
103,1.03,0.06,2386.70,37.10,24.10,8484.00,34.60,43.40,2.40,0.24,0.99,189.00,0.63
104,1.05,0.08,2543.40,39.30,26.00,9344.20,39.60,44.70,2.50,0.26,0.21,398.00,0.54
105,1.00,0.08,2164.60,32.80,26.00,9023.50,33.90,49.70,3.60,0.41,0.20,248.00,0.74
106,1.13,0.05,2671.30,38.80,25.90,9097.40,41.90,47.80,2.70,0.20,0.73,45.00,0.60
107,1.15,0.09,2404.30,36.80,19.40,7732.00,34.40,42.70,2.30,0.25,0.97,282.00,0.64
108,1.11,0.06,3201.70,62.10,15.40,8861.70,35.30,50.50,4.90,0.19,0.94,0.00,0.66
109,0.89,0.15,1287.50,64.50,8.40,7803.60,30.80,37.30,3.00,0.41,0.68,198.00,0.66
110,0.98,0.08,3238.10,58.70,16.20,7416.60,34.10,40.00,2.90,0.16,0.97,0.00,0.68
111,0.83,0.11,3044.40,48.10,23.20,9052.50,33.10,42.40,3.50,0.42,0.98,121.00,0.64
112,1.21,0.12,3069.90,49.60,21.00,10326.80,41.50,46.60,2.90,0.26,,,0.87
113,0.88,0.08,2319.10,48.20,15.00,7577.90,31.50,46.00,2.60,0.34,,,0.65
114,1.26,0.04,2327.70,48.30,16.50,7381.30,42.10,42.80,2.50,0.17,,,0.66
115,1.39,0.00,2771.50,55.40,15.20,9621.70,49.00,40.80,,0.00,,,0.63
116,1.11,0.08,2557.20,43.60,16.20,7814.60,37.30,39.20,3.20,0.21,0.99,83.00,0.65
117,1.07,0.06,2402.50,40.50,18.90,7801.70,38.10,47.10,3.70,0.07,,,0.64
118,0.96,0.04,1985.40,37.00,17.00,10667.80,36.00,40.10,2.60,0.33,0.01,127.00,0.62
119,1.10,0.07,2838.30,44.30,19.10,19400.70,39.40,49.40,2.80,0.73,,,0.70
120,0.97,0.09,3039.10,44.70,29.00,10130.30,39.10,33.40,3.10,0.21,0.49,177.00,0.52
121,1.02,0.09,2371.90,43.90,16.10,8472.60,36.00,50.70,3.10,0.15,,,0.57
122,1.19,0.04,2502.90,40.50,21.30,8189.10,39.30,52.50,3.10,0.75,,,0.73
123,1.00,0.06,2177.80,83.70,9.00,9388.10,37.30,32.20,2.50,0.17,1.00,14.00,0.54
124,0.93,0.06,1780.80,78.50,7.20,8382.90,37.10,37.00,2.20,0.06,,,0.60
125,1.01,0.09,2228.70,36.30,16.80,8549.70,28.50,58.40,2.90,0.16,0.68,342.00,0.68
126,1.09,0.07,2784.60,46.40,15.30,8155.40,39.30,43.20,2.90,0.34,0.98,70.00,0.59
127,0.88,0.16,2147.60,35.10,18.80,7281.20,33.20,52.20,2.60,0.07,,,0.59
128,0.63,0.05,3171.90,36.80,13.80,,34.00,65.00,2.00,0.00,,,0.41
129,1.09,0.06,2844.90,43.90,25.40,8040.00,41.00,56.50,3.30,0.49,,,0.59
130,1.06,0.06,1900.20,73.50,14.90,25984.30,9.10,74.80,2.40,0.15,,,0.61
131,0.75,0.05,,,28.20,10569.10,22.90,53.80,3.10,0.82,0.20,205.00,0.82
132,1.05,0.09,2523.00,42.60,24.50,8911.40,36.10,42.70,2.70,0.31,0.99,136.00,0.50
133,1.21,0.05,2632.00,45.00,20.70,9345.30,37.10,46.20,3.10,0.38,0.97,47.00,0.71
134,1.08,0.06,2398.80,38.00,23.40,8618.60,36.80,39.00,3.00,0.35,,,0.51
135,0.88,0.09,2891.10,54.60,12.60,6945.20,31.80,50.80,2.20,0.20,,,0.58
136,1.10,0.06,2377.90,39.60,22.00,8895.60,38.00,44.90,2.90,0.29,,,0.67
137,1.10,0.06,3152.30,57.30,12.40,7245.70,40.20,42.90,2.50,0.14,,,0.55
